    epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,535.61,1.14151,2.12923,0.97518,1.02467,0.56042,0.31935,0.33696,0.22268,0.5745,0.29606,0.32138,0.16744,1.27837,2.26832,1.08374,1.13592,0.000360489,0.000360489,0.000360489
97,540.586,1.09195,1.97228,0.95103,0.99739,0.57898,0.30779,0.33539,0.22447,0.53586,0.29928,0.31935,0.17115,1.27495,2.2288,1.09036,1.13269,0.000346736,0.000346736,0.000346736
98,546.689,1.104,2.02175,0.97105,0.99652,0.5705,0.3093,0.33511,0.22378,0.54123,0.30015,0.32041,0.17255,1.28302,2.21167,1.09259,1.13831,0.000332983,0.000332983,0.000332983
99,551.967,1.18198,2.17977,1.00626,1.03163,0.55441,0.31035,0.33265,0.22269,0.55696,0.28729,0.31781,0.17201,1.28474,2.21617,1.09353,1.13827,0.000319231,0.000319231,0.000319231
100,557.035,1.13169,2.0881,0.98045,1.0074,0.58038,0.3051,0.3326,0.22067,0.57162,0.28803,0.3187,0.17125,1.27642,2.22405,1.08422,1.13634,0.000305478,0.000305478,0.000305478
101,562.428,1.18803,2.12656,1.01822,1.02323,0.57703,0.30977,0.33373,0.22048,0.56735,0.28608,0.31934,0.17132,1.27284,2.22013,1.07645,1.13766,0.000291725,0.000291725,0.000291725
102,568.131,1.18145,2.23147,0.9968,1.02847,0.59324,0.30598,0.33182,0.21984,0.57575,0.2908,0.32182,0.17217,1.28311,2.22088,1.0721,1.14339,0.000277972,0.000277972,0.000277972
103,573.649,1.15906,2.13127,0.98787,1.02486,0.60664,0.30003,0.33321,0.22253,0.583,0.29384,0.32477,0.17286,1.27757,2.21098,1.05977,1.14539,0.00026422,0.00026422,0.00026422
104,580.179,1.13109,2.12939,0.98274,1.01678,0.62023,0.29342,0.33316,0.22002,0.59686,0.2857,0.32076,0.17005,1.28909,2.20636,1.07764,1.14905,0.000250467,0.000250467,0.000250467
105,585.462,1.10651,2.03314,0.93082,0.99488,0.6091,0.29985,0.33591,0.22081,0.61323,0.27478,0.31973,0.16852,1.29092,2.21373,1.08313,1.14722,0.000236714,0.000236714,0.000236714
106,590.656,1.15676,2.06481,0.96411,1.00932,0.59083,0.30428,0.33467,0.22183,0.58649,0.28122,0.32061,0.16975,1.27872,2.21242,1.06936,1.13989,0.000222961,0.000222961,0.000222961
107,595.858,1.13588,2.12224,0.97566,1.0109,0.63193,0.29634,0.33583,0.2224,0.60879,0.28026,0.31961,0.17079,1.26777,2.22029,1.04814,1.13777,0.000209209,0.000209209,0.000209209
108,601.087,1.10417,2.03574,0.95347,0.99941,0.67262,0.28919,0.33768,0.2234,0.62004,0.28146,0.32036,0.17159,1.26488,2.23498,1.04399,1.13805,0.000195456,0.000195456,0.000195456
109,606.172,1.09631,2.02312,0.91142,0.99168,0.58373,0.31425,0.33949,0.22252,0.62925,0.27953,0.32114,0.17214,1.27493,2.25102,1.04939,1.13753,0.000181703,0.000181703,0.000181703
110,612.516,1.12485,2.09769,0.9353,0.99925,0.68256,0.28845,0.34068,0.22223,0.62784,0.27357,0.31603,0.16842,1.27701,2.27696,1.0592,1.14117,0.00016795,0.00016795,0.00016795
111,644.163,0.99999,1.84635,0.91937,0.95049,0.63045,0.29453,0.3379,0.22012,0.62274,0.27211,0.31712,0.16607,1.28427,2.28393,1.07337,1.14374,0.000154198,0.000154198,0.000154198
112,649.725,1.06611,2.03922,0.99802,0.99073,0.59861,0.31222,0.33995,0.21908,0.61363,0.27035,0.31734,0.16516,1.28426,2.28264,1.07894,1.14413,0.000140445,0.000140445,0.000140445
113,655.127,0.9843,1.82695,0.86335,0.95203,0.63003,0.29371,0.33715,0.21743,0.58249,0.27941,0.31721,0.16362,1.28466,2.26069,1.07852,1.14266,0.000126692,0.000126692,0.000126692
114,660.186,1.023,1.84231,0.89893,0.96092,0.63147,0.29542,0.33701,0.21731,0.59421,0.2797,0.31751,0.16342,1.28872,2.24805,1.08142,1.14607,0.000112939,0.000112939,0.000112939
115,664.797,1.01234,1.8562,0.89004,0.95955,0.61958,0.29596,0.33718,0.21778,0.57481,0.28819,0.31878,0.16568,1.29363,2.24147,1.07871,1.14997,9.91865e-05,9.91865e-05,9.91865e-05
116,669.44,0.97946,1.79816,0.86844,0.94697,0.62063,0.29838,0.33719,0.2176,0.59623,0.2835,0.31811,0.16498,1.29726,2.24339,1.07909,1.15325,8.54337e-05,8.54337e-05,8.54337e-05
117,674.032,1.03453,1.91781,0.90355,0.95372,0.65108,0.29187,0.33741,0.21746,0.60517,0.2793,0.31398,0.16417,1.29928,2.25975,1.07969,1.15739,7.1681e-05,7.1681e-05,7.1681e-05
118,678.637,0.97489,1.84583,0.85865,0.94998,0.64675,0.29342,0.33671,0.21765,0.6258,0.27678,0.31388,0.16439,1.30248,2.26996,1.08141,1.15969,5.79283e-05,5.79283e-05,5.79283e-05
119,683.317,1.03275,1.91119,0.90614,0.96146,0.64853,0.29452,0.33726,0.21703,0.59199,0.28292,0.31254,0.16441,1.3052,2.28537,1.08377,1.16185,4.41755e-05,4.41755e-05,4.41755e-05
120,687.974,1.00156,1.87679,0.87558,0.95256,0.63703,0.294,0.33808,0.21846,0.58741,0.28214,0.31207,0.16442,1.30627,2.28393,1.08469,1.16218,3.04227e-05,3.04227e-05,3.04227e-05
